SSC Roll
101169
104463
104572
104637
104639
104644
105484
105488
105537
105561
105563
105574
105788
106233
106451
112436
112446
112484
112485
112487
112489
112492
112493
112498
112500
112519
112542
112570
112582
112647
112697
112752
112755
112790
112793
112854
112883
112884
112910
112911
112912
112917
112919
112924
112926
112960
112963
112976
112982
112983
112984
112987
112988
113004
113017
113018
113024
113042
113050
113075
113082
113092
113095
113102
113113
113114
113115
113116
113118
113138
113141
113143
113145
113146
113152
113172
113211
113212
113215
113217
113234
113242
113244
113246
113287
113291
113292
113293
113301
113348
113357
113369
113371
113375
113453
113486
113490
113496
113546
113548
113550
113631
113633
113636
113678
113686
113691
113701
113715
113735
113743
113747
113763
113765
113791
113795
113798
113804
113806
113810
113815
113823
113837
113838
113858
113877
113880
113894
113952
113984
113991
114001
114012
114031
114035
114070
114074
114081
114085
114096
114097
114112
114113
114114
114115
114118
114178
114199
114228
114231
114240
114241
114254
114255
114256
114258
114264
114270
114275
114276
114282
114287
114288
114297
114307
114308
114312
114329
114384
114394
114399
114423
114434
114436
114494
114495
114496
114497
114528
114609
114610
114612
114614
114623
114626
114702
114774
114777
114822
114909
114938
115122
115138
115286
115321
115335
115347
115577
115585
115589
115856
115905
115961
116107
116225
116241
116242
116326
116436
116442
116537
116539
116620
116725
116746
118008
118208
118247
118248
118250
118325
118326
124117
130021
136096
136800
137482
146790
146792
146801
149091
149119
149141
149144
149485
151720
151731
151923
151933
170110
175951
218164
316686
400785
400924
403406
404115
404128
404428
407535
408066
408166
408235
408502
408629
408662
408723
408736
408752
409210
409212
411448
411451
411483
411484
411491
411508
411519
411605
411623
411625
411653
411660
411694
411734
411735
411746
411802
411818
411821
411822
411823
411824
411826
411827
411836
411840
411866
411986
411993
411994
412000
412001
412009
412022
412088
412091
412199
412238
412281
412302
412357
412358
412367
412377
412387
412388
412391
412394
412396
412398
412420
412422
412489
412498
412501
412504
412556
412560
412561
412562
412564
412568
412599
412608
412657
412658
412686
412688
412695
412717
412721
412724
412728
412737
412794
412808
412945
412962
412969
412975
412980
412985
412987
412999
413012
413033
413037
413051
413054
413057
413072
413074
413077
413078
413079
413084
413088
413091
413115
413117
413136
413142
413145
413295
413314
413424
413429
413441
413616
413618
413621
413622
413629
413630
413720
414087
414516
414658
414696
414728
415319
415397
416185
416257
416378
416404
416417
416679
416683
417373
417839
417952
438635
501646
571866
572309
572614
582065
585800
629072
750452
750467
750472
750478
750484
750488
750508
750532
750560
750561
750583
802260
802272
802446
802483
802486
802487
802511
802512
802529
802531
802534
802589
